The Absolute Way;Relative Way;Class
C:/Users/User/nuck figgers/another_dir\cat_0000.jpg;another_dir\cat_0000.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0001.jpg;another_dir\cat_0001.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0002.jpg;another_dir\cat_0002.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0003.jpg;another_dir\cat_0003.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0004.jpg;another_dir\cat_0004.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0005.jpg;another_dir\cat_0005.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0006.jpg;another_dir\cat_0006.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0007.jpg;another_dir\cat_0007.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0008.jpg;another_dir\cat_0008.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0009.jpg;another_dir\cat_0009.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0010.jpg;another_dir\cat_0010.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0011.jpg;another_dir\cat_0011.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0012.jpg;another_dir\cat_0012.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0013.jpg;another_dir\cat_0013.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0014.jpg;another_dir\cat_0014.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0015.jpg;another_dir\cat_0015.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0016.jpg;another_dir\cat_0016.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0017.jpg;another_dir\cat_0017.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0018.jpg;another_dir\cat_0018.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0019.jpg;another_dir\cat_0019.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0020.jpg;another_dir\cat_0020.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0021.jpg;another_dir\cat_0021.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0022.jpg;another_dir\cat_0022.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0023.jpg;another_dir\cat_0023.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0024.jpg;another_dir\cat_0024.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0025.jpg;another_dir\cat_0025.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0026.jpg;another_dir\cat_0026.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0027.jpg;another_dir\cat_0027.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0028.jpg;another_dir\cat_0028.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0029.jpg;another_dir\cat_0029.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0030.jpg;another_dir\cat_0030.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0031.jpg;another_dir\cat_0031.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0032.jpg;another_dir\cat_0032.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0033.jpg;another_dir\cat_0033.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0034.jpg;another_dir\cat_0034.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0035.jpg;another_dir\cat_0035.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0036.jpg;another_dir\cat_0036.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0037.jpg;another_dir\cat_0037.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0038.jpg;another_dir\cat_0038.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0039.jpg;another_dir\cat_0039.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0040.jpg;another_dir\cat_0040.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0041.jpg;another_dir\cat_0041.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0042.jpg;another_dir\cat_0042.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0043.jpg;another_dir\cat_0043.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0044.jpg;another_dir\cat_0044.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0045.jpg;another_dir\cat_0045.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0046.jpg;another_dir\cat_0046.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0047.jpg;another_dir\cat_0047.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0048.jpg;another_dir\cat_0048.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0049.jpg;another_dir\cat_0049.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0050.jpg;another_dir\cat_0050.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0051.jpg;another_dir\cat_0051.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0052.jpg;another_dir\cat_0052.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0053.jpg;another_dir\cat_0053.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0054.jpg;another_dir\cat_0054.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0055.jpg;another_dir\cat_0055.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0056.jpg;another_dir\cat_0056.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0057.jpg;another_dir\cat_0057.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0058.jpg;another_dir\cat_0058.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0059.jpg;another_dir\cat_0059.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0060.jpg;another_dir\cat_0060.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0061.jpg;another_dir\cat_0061.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0062.jpg;another_dir\cat_0062.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0063.jpg;another_dir\cat_0063.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0064.jpg;another_dir\cat_0064.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0065.jpg;another_dir\cat_0065.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0066.jpg;another_dir\cat_0066.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0067.jpg;another_dir\cat_0067.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0068.jpg;another_dir\cat_0068.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0069.jpg;another_dir\cat_0069.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0070.jpg;another_dir\cat_0070.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0071.jpg;another_dir\cat_0071.jpg;cat
C:/Users/User/nuck figgers/another_dir\cat_0072.jpg;another_dir\cat_0072.jpg;cat
