The Absolute Way;Relative Way;Class
C:/Users/User/nuck figgers/dataset_another/cat_0000.jpg;dataset_another/cat_0000.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0001.jpg;dataset_another/cat_0001.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0002.jpg;dataset_another/cat_0002.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0003.jpg;dataset_another/cat_0003.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0004.jpg;dataset_another/cat_0004.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0005.jpg;dataset_another/cat_0005.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0006.jpg;dataset_another/cat_0006.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0007.jpg;dataset_another/cat_0007.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0008.jpg;dataset_another/cat_0008.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0009.jpg;dataset_another/cat_0009.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0010.jpg;dataset_another/cat_0010.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0011.jpg;dataset_another/cat_0011.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0012.jpg;dataset_another/cat_0012.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0013.jpg;dataset_another/cat_0013.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0014.jpg;dataset_another/cat_0014.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0015.jpg;dataset_another/cat_0015.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0016.jpg;dataset_another/cat_0016.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0017.jpg;dataset_another/cat_0017.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0018.jpg;dataset_another/cat_0018.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0019.jpg;dataset_another/cat_0019.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0020.jpg;dataset_another/cat_0020.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0021.jpg;dataset_another/cat_0021.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0022.jpg;dataset_another/cat_0022.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0023.jpg;dataset_another/cat_0023.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0024.jpg;dataset_another/cat_0024.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0025.jpg;dataset_another/cat_0025.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0026.jpg;dataset_another/cat_0026.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0027.jpg;dataset_another/cat_0027.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0028.jpg;dataset_another/cat_0028.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0029.jpg;dataset_another/cat_0029.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0030.jpg;dataset_another/cat_0030.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0031.jpg;dataset_another/cat_0031.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0032.jpg;dataset_another/cat_0032.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0033.jpg;dataset_another/cat_0033.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0034.jpg;dataset_another/cat_0034.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0035.jpg;dataset_another/cat_0035.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0036.jpg;dataset_another/cat_0036.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0037.jpg;dataset_another/cat_0037.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0038.jpg;dataset_another/cat_0038.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0039.jpg;dataset_another/cat_0039.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0040.jpg;dataset_another/cat_0040.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0041.jpg;dataset_another/cat_0041.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0042.jpg;dataset_another/cat_0042.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0043.jpg;dataset_another/cat_0043.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0044.jpg;dataset_another/cat_0044.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0045.jpg;dataset_another/cat_0045.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0046.jpg;dataset_another/cat_0046.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0047.jpg;dataset_another/cat_0047.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0048.jpg;dataset_another/cat_0048.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0049.jpg;dataset_another/cat_0049.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0050.jpg;dataset_another/cat_0050.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0051.jpg;dataset_another/cat_0051.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0052.jpg;dataset_another/cat_0052.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0053.jpg;dataset_another/cat_0053.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0054.jpg;dataset_another/cat_0054.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0055.jpg;dataset_another/cat_0055.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0056.jpg;dataset_another/cat_0056.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0057.jpg;dataset_another/cat_0057.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0058.jpg;dataset_another/cat_0058.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0059.jpg;dataset_another/cat_0059.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0060.jpg;dataset_another/cat_0060.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0061.jpg;dataset_another/cat_0061.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0062.jpg;dataset_another/cat_0062.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0063.jpg;dataset_another/cat_0063.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0064.jpg;dataset_another/cat_0064.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0065.jpg;dataset_another/cat_0065.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0066.jpg;dataset_another/cat_0066.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0067.jpg;dataset_another/cat_0067.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0068.jpg;dataset_another/cat_0068.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0069.jpg;dataset_another/cat_0069.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0070.jpg;dataset_another/cat_0070.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0071.jpg;dataset_another/cat_0071.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0072.jpg;dataset_another/cat_0072.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0073.jpg;dataset_another/cat_0073.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0074.jpg;dataset_another/cat_0074.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0075.jpg;dataset_another/cat_0075.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0076.jpg;dataset_another/cat_0076.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0077.jpg;dataset_another/cat_0077.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0078.jpg;dataset_another/cat_0078.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0079.jpg;dataset_another/cat_0079.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0080.jpg;dataset_another/cat_0080.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0081.jpg;dataset_another/cat_0081.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0082.jpg;dataset_another/cat_0082.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0083.jpg;dataset_another/cat_0083.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0084.jpg;dataset_another/cat_0084.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0085.jpg;dataset_another/cat_0085.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0086.jpg;dataset_another/cat_0086.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0087.jpg;dataset_another/cat_0087.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0088.jpg;dataset_another/cat_0088.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0089.jpg;dataset_another/cat_0089.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0090.jpg;dataset_another/cat_0090.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0091.jpg;dataset_another/cat_0091.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0092.jpg;dataset_another/cat_0092.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0093.jpg;dataset_another/cat_0093.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0094.jpg;dataset_another/cat_0094.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0095.jpg;dataset_another/cat_0095.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0096.jpg;dataset_another/cat_0096.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0097.jpg;dataset_another/cat_0097.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0098.jpg;dataset_another/cat_0098.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0099.jpg;dataset_another/cat_0099.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0100.jpg;dataset_another/cat_0100.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0101.jpg;dataset_another/cat_0101.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0102.jpg;dataset_another/cat_0102.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0103.jpg;dataset_another/cat_0103.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0104.jpg;dataset_another/cat_0104.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0105.jpg;dataset_another/cat_0105.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0106.jpg;dataset_another/cat_0106.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0107.jpg;dataset_another/cat_0107.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0108.jpg;dataset_another/cat_0108.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0109.jpg;dataset_another/cat_0109.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0110.jpg;dataset_another/cat_0110.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0111.jpg;dataset_another/cat_0111.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0112.jpg;dataset_another/cat_0112.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0113.jpg;dataset_another/cat_0113.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0114.jpg;dataset_another/cat_0114.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0115.jpg;dataset_another/cat_0115.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0116.jpg;dataset_another/cat_0116.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0117.jpg;dataset_another/cat_0117.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0118.jpg;dataset_another/cat_0118.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0119.jpg;dataset_another/cat_0119.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0120.jpg;dataset_another/cat_0120.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0121.jpg;dataset_another/cat_0121.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0122.jpg;dataset_another/cat_0122.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0123.jpg;dataset_another/cat_0123.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0124.jpg;dataset_another/cat_0124.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0125.jpg;dataset_another/cat_0125.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0126.jpg;dataset_another/cat_0126.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0127.jpg;dataset_another/cat_0127.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0128.jpg;dataset_another/cat_0128.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0129.jpg;dataset_another/cat_0129.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0130.jpg;dataset_another/cat_0130.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0131.jpg;dataset_another/cat_0131.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0132.jpg;dataset_another/cat_0132.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0133.jpg;dataset_another/cat_0133.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0134.jpg;dataset_another/cat_0134.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0135.jpg;dataset_another/cat_0135.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0136.jpg;dataset_another/cat_0136.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0137.jpg;dataset_another/cat_0137.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0138.jpg;dataset_another/cat_0138.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0139.jpg;dataset_another/cat_0139.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0140.jpg;dataset_another/cat_0140.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0141.jpg;dataset_another/cat_0141.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0142.jpg;dataset_another/cat_0142.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0143.jpg;dataset_another/cat_0143.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0144.jpg;dataset_another/cat_0144.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0145.jpg;dataset_another/cat_0145.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0146.jpg;dataset_another/cat_0146.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0147.jpg;dataset_another/cat_0147.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0148.jpg;dataset_another/cat_0148.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0149.jpg;dataset_another/cat_0149.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0150.jpg;dataset_another/cat_0150.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0151.jpg;dataset_another/cat_0151.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0152.jpg;dataset_another/cat_0152.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0153.jpg;dataset_another/cat_0153.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0154.jpg;dataset_another/cat_0154.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0155.jpg;dataset_another/cat_0155.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0156.jpg;dataset_another/cat_0156.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0157.jpg;dataset_another/cat_0157.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0158.jpg;dataset_another/cat_0158.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0159.jpg;dataset_another/cat_0159.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0160.jpg;dataset_another/cat_0160.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0161.jpg;dataset_another/cat_0161.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0162.jpg;dataset_another/cat_0162.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0163.jpg;dataset_another/cat_0163.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0164.jpg;dataset_another/cat_0164.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0165.jpg;dataset_another/cat_0165.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0166.jpg;dataset_another/cat_0166.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0167.jpg;dataset_another/cat_0167.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0168.jpg;dataset_another/cat_0168.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0169.jpg;dataset_another/cat_0169.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0170.jpg;dataset_another/cat_0170.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0171.jpg;dataset_another/cat_0171.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0172.jpg;dataset_another/cat_0172.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0173.jpg;dataset_another/cat_0173.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0174.jpg;dataset_another/cat_0174.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0175.jpg;dataset_another/cat_0175.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0176.jpg;dataset_another/cat_0176.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0177.jpg;dataset_another/cat_0177.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0178.jpg;dataset_another/cat_0178.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0179.jpg;dataset_another/cat_0179.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0180.jpg;dataset_another/cat_0180.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0181.jpg;dataset_another/cat_0181.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0182.jpg;dataset_another/cat_0182.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0183.jpg;dataset_another/cat_0183.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0184.jpg;dataset_another/cat_0184.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0185.jpg;dataset_another/cat_0185.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0186.jpg;dataset_another/cat_0186.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0187.jpg;dataset_another/cat_0187.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0188.jpg;dataset_another/cat_0188.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0189.jpg;dataset_another/cat_0189.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0190.jpg;dataset_another/cat_0190.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0191.jpg;dataset_another/cat_0191.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0192.jpg;dataset_another/cat_0192.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0193.jpg;dataset_another/cat_0193.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0194.jpg;dataset_another/cat_0194.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0195.jpg;dataset_another/cat_0195.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0196.jpg;dataset_another/cat_0196.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0197.jpg;dataset_another/cat_0197.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0198.jpg;dataset_another/cat_0198.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0199.jpg;dataset_another/cat_0199.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0200.jpg;dataset_another/cat_0200.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0201.jpg;dataset_another/cat_0201.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0202.jpg;dataset_another/cat_0202.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0203.jpg;dataset_another/cat_0203.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0204.jpg;dataset_another/cat_0204.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0205.jpg;dataset_another/cat_0205.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0206.jpg;dataset_another/cat_0206.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0207.jpg;dataset_another/cat_0207.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0208.jpg;dataset_another/cat_0208.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0209.jpg;dataset_another/cat_0209.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0210.jpg;dataset_another/cat_0210.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0211.jpg;dataset_another/cat_0211.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0212.jpg;dataset_another/cat_0212.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0213.jpg;dataset_another/cat_0213.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0214.jpg;dataset_another/cat_0214.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0215.jpg;dataset_another/cat_0215.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0216.jpg;dataset_another/cat_0216.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0217.jpg;dataset_another/cat_0217.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0218.jpg;dataset_another/cat_0218.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0219.jpg;dataset_another/cat_0219.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0220.jpg;dataset_another/cat_0220.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0221.jpg;dataset_another/cat_0221.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0222.jpg;dataset_another/cat_0222.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0223.jpg;dataset_another/cat_0223.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0224.jpg;dataset_another/cat_0224.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0225.jpg;dataset_another/cat_0225.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0226.jpg;dataset_another/cat_0226.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0227.jpg;dataset_another/cat_0227.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0228.jpg;dataset_another/cat_0228.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0229.jpg;dataset_another/cat_0229.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0230.jpg;dataset_another/cat_0230.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0231.jpg;dataset_another/cat_0231.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0232.jpg;dataset_another/cat_0232.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0233.jpg;dataset_another/cat_0233.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0234.jpg;dataset_another/cat_0234.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0235.jpg;dataset_another/cat_0235.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0236.jpg;dataset_another/cat_0236.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0237.jpg;dataset_another/cat_0237.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0238.jpg;dataset_another/cat_0238.jpg;cat
C:/Users/User/nuck figgers/dataset_another/cat_0239.jpg;dataset_another/cat_0239.jpg;cat
