The Absolute Way;Relative Way;Class
C:/Users/User/nuck figgers/dataset_random/02774.jpg;dataset_random/02774.jpg;cat
C:/Users/User/nuck figgers/dataset_random/00439.jpg;dataset_random/00439.jpg;cat
C:/Users/User/nuck figgers/dataset_random/02283.jpg;dataset_random/02283.jpg;cat
C:/Users/User/nuck figgers/dataset_random/08811.jpg;dataset_random/08811.jpg;cat
C:/Users/User/nuck figgers/dataset_random/05781.jpg;dataset_random/05781.jpg;cat
C:/Users/User/nuck figgers/dataset_random/06338.jpg;dataset_random/06338.jpg;cat
C:/Users/User/nuck figgers/dataset_random/05130.jpg;dataset_random/05130.jpg;cat
C:/Users/User/nuck figgers/dataset_random/05200.jpg;dataset_random/05200.jpg;cat
C:/Users/User/nuck figgers/dataset_random/00459.jpg;dataset_random/00459.jpg;cat
C:/Users/User/nuck figgers/dataset_random/05525.jpg;dataset_random/05525.jpg;cat
C:/Users/User/nuck figgers/dataset_random/01766.jpg;dataset_random/01766.jpg;cat
C:/Users/User/nuck figgers/dataset_random/07876.jpg;dataset_random/07876.jpg;cat
C:/Users/User/nuck figgers/dataset_random/03844.jpg;dataset_random/03844.jpg;cat
C:/Users/User/nuck figgers/dataset_random/08014.jpg;dataset_random/08014.jpg;cat
C:/Users/User/nuck figgers/dataset_random/09359.jpg;dataset_random/09359.jpg;cat
C:/Users/User/nuck figgers/dataset_random/02040.jpg;dataset_random/02040.jpg;cat
C:/Users/User/nuck figgers/dataset_random/00223.jpg;dataset_random/00223.jpg;cat
C:/Users/User/nuck figgers/dataset_random/06389.jpg;dataset_random/06389.jpg;cat
C:/Users/User/nuck figgers/dataset_random/09169.jpg;dataset_random/09169.jpg;cat
C:/Users/User/nuck figgers/dataset_random/03201.jpg;dataset_random/03201.jpg;cat
C:/Users/User/nuck figgers/dataset_random/00189.jpg;dataset_random/00189.jpg;cat
C:/Users/User/nuck figgers/dataset_random/07290.jpg;dataset_random/07290.jpg;cat
C:/Users/User/nuck figgers/dataset_random/05910.jpg;dataset_random/05910.jpg;cat
C:/Users/User/nuck figgers/dataset_random/08128.jpg;dataset_random/08128.jpg;cat
